Catagory_Name,productName,productPrice,productSize,productType,productURL,imageUrl,prodId,skuId
NYX Professional Makeup,Color Correcting Concealer Pallete,$10.99,0.05 oz ,Concealers,https://www.walgreens.com/store/c/nyx-professional-makeup-color-correcting-concealer-pallete/ID=prod6325835-product,https://pics.drugstore.com/prodimg/573595/155.jpg,prod6325835,sku6287679
Kiss,Ever EZ Lashes Strip Lash Adhesive Clear,$2.99,0.21 fl oz ,False Eyelashes,https://www.walgreens.com/store/c/kiss-ever-ez-lashes-strip-lash-adhesive/ID=prod6057655-product,https://pics.drugstore.com/prodimg/413824/155.jpg,prod6057655,sku6053569
NYX Professional Makeup,Micro Brow Pencil Brunette,$9.99,0 oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/nyx-professional-makeup-micro-brow-pencil/ID=400388792-product?skuId=sku6285710,https://pics.drugstore.com/prodimg/591491/155.jpg,400388792,sku6285710
Ardell,Magnetic Liner & Lash Kit Wispies Black,$14.99,1 ea ,False Eyelashes,https://www.walgreens.com/store/c/ardell-magnetic-liner-%26-lash-kit-wispies/ID=300397560-product,https://pics.drugstore.com/prodimg/618621/155.jpg,300397560,400618621
Ardell,Magnetic Lashes Double Demi Wispies,$8.99,4 ea ,False Eyelashes,https://www.walgreens.com/store/c/ardell-magnetic-lashes-double-demi-wispies/ID=prod6375063-product,https://pics.drugstore.com/prodimg/605120/155.jpg,prod6375063,sku6313989
Ardell,Magnetic Lashes Double 110,$8.99,4 ea ,False Eyelashes,https://www.walgreens.com/store/c/ardell-magnetic-lashes-double-110/ID=prod6375074-product,https://pics.drugstore.com/prodimg/605119/155.jpg,prod6375074,sku6314000
NYX Professional Makeup,Matte Liquid Liner Black,$6.99,0.01 oz ,Eyeliner,https://www.walgreens.com/store/c/nyx-professional-makeup-matte-liquid-liner/ID=prod6346629-product,https://pics.drugstore.com/prodimg/591490/155.jpg,prod6346629,sku6287671
Maybelline,Instant Age Rewind Eraser Dark Circles Treatment Concealer Sand,$8.49,0.2 fl oz ,Concealers,https://www.walgreens.com/store/c/maybelline-instant-age-rewind-eraser-dark-circles-treatment-concealer/ID=300397474-product?skuId=sku6317005,https://pics.drugstore.com/prodimg/606044/155.jpg,300397474,sku6317005
Ardell,Wispies Lashes Multipack,$9.89,10 ea ,False Eyelashes,https://www.walgreens.com/store/c/ardell-wispies-lashes-multipack/ID=prod6371503-product,https://pics.drugstore.com/prodimg/605121/155.jpg,prod6371503,sku6312005
Rimmel,Waterproof Eyeliner Black,$4.29,0.04 oz ,Eyeliner,https://www.walgreens.com/store/c/rimmel-scandal-eyes-waterproof-eyeliner/ID=prod6408957-product?skuId=sku6156588,https://pics.drugstore.com/prodimg/473230/155.jpg,prod6408957,sku6156588
Ardell,Magnetic Accents 001,$8.99,4 ea ,False Eyelashes,https://www.walgreens.com/store/c/ardell-magnetic-accents-001/ID=prod6375298-product,https://pics.drugstore.com/prodimg/605118/155.jpg,prod6375298,sku6314224
Q-tips,Cotton Swabs,$4.99,625 ea ,Cotton Swabs,https://www.walgreens.com/store/c/q-tips-cotton-swabs/ID=prod374383-product,https://pics.drugstore.com/prodimg/414027/155.jpg,prod374383,sku374384
Ardell,Magnetic Liner & Lash Kit Accent 002 Black,$14.99,1 ea ,False Eyelashes,https://www.walgreens.com/store/c/ardell-magnetic-liner-%26-lash-kit-accent-002/ID=300397561-product,https://pics.drugstore.com/prodimg/618622/155.jpg,300397561,400618622
No7,Stay Perfect Long Wear Tubular Mascara Black,$8.99,0.2 Fl Oz ,Mascara,https://www.walgreens.com/store/c/no7-stay-perfect-long-wear-tubular-mascara/ID=prod6396088-product,https://pics.drugstore.com/prodimg/610898/155.jpg,prod6396088,sku6325364
